,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),总含量
count,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
mean,54.66,1.68,0.22,1.32,0.64,4.46,0.74,1.43,22.08,9.0,1.05,0.27,0.05,0.16,97.76
std,11.83,2.37,0.31,1.28,0.55,3.26,1.15,1.97,8.22,5.83,1.85,0.24,0.13,0.76,2.3
min,31.94,0.0,0.0,0.0,0.0,1.42,0.0,0.0,9.3,2.03,0.0,0.0,0.0,0.0,88.41
25%,49.81,0.0,0.0,0.48,0.0,2.36,0.0,0.44,16.36,5.05,0.04,0.06,0.0,0.0,97.16
50%,54.61,0.0,0.15,0.84,0.71,3.86,0.0,0.65,20.12,8.99,0.19,0.26,0.0,0.0,98.25
75%,63.48,2.88,0.28,1.84,1.04,5.22,1.14,1.9,27.27,10.41,1.23,0.34,0.0,0.0,98.7
max,75.51,7.92,1.41,4.49,1.67,14.34,4.59,8.46,39.22,26.23,6.34,0.91,0.44,3.66,99.98
skew,-0.37,1.29,2.88,1.35,0.09,1.99,2.07,2.46,0.62,1.8,2.17,1.23,2.63,4.8,-3.2
kurt,2.32,3.35,10.75,3.57,1.76,6.12,6.54,8.22,2.39,5.74,5.71,4.31,7.38,21.05,13.02
