,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),总含量
count,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
mean,24.91,0.22,0.13,2.7,0.65,2.97,0.58,2.28,43.31,11.81,5.28,0.42,0.07,1.37,96.69
std,10.61,0.56,0.24,1.66,0.71,2.63,0.74,2.82,12.23,9.98,4.2,0.26,0.27,4.21,2.89
min,3.72,0.0,0.0,0.0,0.0,0.45,0.0,0.0,15.71,0.0,0.0,0.0,0.0,0.0,90.17
25%,18.79,0.0,0.0,1.34,0.0,1.4,0.0,0.71,35.47,6.78,1.31,0.22,0.0,0.0,94.84
50%,25.02,0.0,0.0,2.88,0.57,2.38,0.3,1.14,44.06,8.79,4.97,0.42,0.0,0.0,97.57
75%,30.2,0.0,0.24,3.5,1.16,3.56,0.99,3.14,48.84,14.51,8.59,0.59,0.0,0.0,98.76
max,53.33,2.22,1.05,6.4,2.73,13.65,2.74,10.57,70.21,35.45,14.13,1.12,1.31,15.95,99.89
skew,0.31,2.67,2.51,0.38,1.04,2.83,1.4,2.1,-0.03,1.28,0.4,0.54,4.37,3.26,-0.74
kurt,3.78,8.29,9.15,2.4,3.77,11.48,4.03,6.17,2.97,3.46,2.1,3.41,18.96,10.66,2.32
