,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),总含量
count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
mean,93.96,0.0,0.54,0.87,0.2,1.93,0.26,1.56,0.0,0.0,0.28,0.0,0.0,0.0,99.61
std,1.73,0.0,0.45,0.49,0.31,0.96,0.07,0.93,0.0,0.0,0.21,0.0,0.0,0.0,0.42
min,92.35,0.0,0.0,0.21,0.0,0.81,0.17,0.55,0.0,0.0,0.0,0.0,0.0,0.0,98.81
25%,92.65,0.0,0.15,0.64,0.0,1.36,0.22,1.01,0.0,0.0,0.16,0.0,0.0,0.0,99.6
50%,93.5,0.0,0.66,0.83,0.0,1.72,0.28,1.54,0.0,0.0,0.28,0.0,0.0,0.0,99.73
75%,94.84,0.0,0.88,1.04,0.4,2.38,0.31,1.62,0.0,0.0,0.36,0.0,0.0,0.0,99.8
max,96.77,0.0,1.01,1.66,0.64,3.5,0.35,3.24,0.0,0.0,0.61,0.0,0.0,0.0,100.0
skew,0.85,0.0,-0.54,0.5,1.01,0.78,-0.3,1.22,0.0,0.0,0.4,0.0,0.0,0.0,-1.83
kurt,2.01,0.0,1.49,2.48,1.6,2.2,1.66,2.91,0.0,0.0,2.27,0.0,0.0,0.0,3.47
