Word,e,t,a,o,i,th,he,in,er,an,Frequency,Char_repitions
aback,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012968161221088542,0.3333333333333333
abase,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3476864987657946e-05,0.3333333333333333
abate,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003977924870055182,0.3333333333333333
abbey,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00308710064101404,0.3333333333333333
abbot,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.001704360565436864,0.3333333333333333
abhor,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00026291468314220063,0.0
abide,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.002141015326145446,0.0
abled,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.10831493035672e-05,0.0
abode,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0016024744546048616,0.0
abort,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00035121597919660275,0.0
about,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7019122907107668,0.0
above,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.09838020975827327,0.0
abuse,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01691935311634923,0.0
abyss,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017140640045637213,0.3333333333333333
acorn,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0004138031615648329,0.0
acrid,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0004210807409099759,0.0
actor,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.008671429858520463,0.0
acute,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015949009203663492,0.0
adage,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046377587306814836,0.3333333333333333
adapt,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005323743359754667,0.3333333333333333
adept,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001224040328657424,0.0
admin,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.000865013080963701,0.0
admit,0.0,0.3333333333333333,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.013668701008852011,0.0
adobe,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0008892716787808444,0.0
adopt,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.008719947054154749,0.0
adore,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0009814543504859893,0.0
adorn,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0005108375528334068,0.0
adult,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02303251976626938,0.0
affix,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.00025515193184071474,0.3333333333333333
afire,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0001891685457780846,0.0
afoot,0.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047202379632597713,0.3333333333333333
