,Word,e,t,a,o,i,th,he,in,er,an,Frequency
0,aback,0,0,2,0,0,0,0,0,0,0,2.699342e-06
1,abase,1,0,2,0,0,0,0,0,0,0,9.613907999999998e-08
2,abate,1,1,2,0,0,0,0,0,0,0,8.468224e-07
3,abbey,1,0,1,0,0,0,0,0,0,0,6.393404000000001e-06
4,abbot,0,1,1,1,0,0,0,0,0,0,3.5446e-06
5,abhor,0,0,1,1,0,0,0,0,0,0,5.68669e-07
6,abide,1,0,1,0,1,0,0,0,0,0,4.437534000000001e-06
7,abled,1,0,1,0,0,0,0,0,0,0,1.530008e-07
8,abode,1,0,1,1,0,0,0,0,0,0,3.332456e-06
9,abort,0,1,1,1,0,0,0,0,0,0,7.514977999999999e-07
10,about,0,1,1,1,0,0,0,0,0,0,0.001446756
11,above,1,0,1,1,0,0,0,0,0,0,0.0002028008
12,abuse,1,0,1,0,0,0,0,0,0,0,3.48896e-05
13,abyss,0,0,1,0,0,0,0,0,0,0,3.55745e-06
14,acorn,0,0,1,1,0,0,0,0,0,0,8.802106000000002e-07
15,acrid,0,0,1,0,1,0,0,0,0,0,8.951414000000001e-07
16,actor,0,1,1,1,0,0,0,0,0,0,1.7857680000000002e-05
17,acute,1,1,1,0,0,0,0,0,0,0,3.285576e-05
18,adage,1,0,2,0,0,0,0,0,0,0,9.832024e-07
19,adapt,0,1,2,0,0,0,0,0,0,0,1.099978e-05
20,adept,1,1,1,0,0,0,0,0,0,0,2.5460960000000004e-06
21,admin,0,0,1,0,1,0,0,1,0,0,1.810436e-06
22,admit,0,1,1,0,1,0,0,0,0,0,2.819082e-05
23,adobe,1,0,1,1,0,0,0,0,0,0,1.8630220000000002e-06
24,adopt,0,1,1,1,0,0,0,0,0,0,1.801588e-05
25,adore,1,0,1,1,0,0,0,0,0,0,2.045672e-06
26,adorn,0,0,1,1,0,0,0,0,0,0,1.0802664000000001e-06
27,adult,0,1,1,0,0,0,0,0,0,0,4.754738e-05
28,affix,0,0,1,0,1,0,0,0,0,0,5.534328e-07
29,afire,1,0,1,0,1,0,0,0,0,0,4.173978e-07
30,afoot,0,1,1,2,0,0,0,0,0,0,1.0016201999999999e-06
31,afoul,0,0,1,1,0,0,0,0,0,0,3.6934540000000005e-07
32,after,1,1,1,0,0,0,0,0,1,0,0.0008462688000000001
33,again,0,0,2,0,1,0,0,1,0,0,0.00046067580000000007
34,agape,1,0,2,0,0,0,0,0,0,0,1.0922115999999998e-06
35,agate,1,1,2,0,0,0,0,0,0,0,4.590844e-07
36,agent,1,1,1,0,0,0,0,0,0,0,5.331242e-05
37,agile,1,0,1,0,1,0,0,0,0,0,3.85706e-06
38,aging,0,0,1,0,1,0,0,1,0,0,1.45212e-05
39,aglow,0,0,1,1,0,0,0,0,0,0,4.610106e-07
40,agony,0,0,1,1,0,0,0,0,0,0,7.544356e-06
41,agree,2,0,1,0,0,0,0,0,0,0,4.221286e-05
42,ahead,1,0,2,0,0,0,1,0,0,0,5.2857239999999995e-05
43,aider,1,0,1,0,1,0,0,0,1,0,1.198656e-07
44,aisle,1,0,1,0,1,0,0,0,0,0,5.122444e-06
45,alarm,0,0,2,0,0,0,0,0,0,0,1.5956980000000002e-05
46,album,0,0,1,0,0,0,0,0,0,0,8.152288e-06
47,alert,1,1,1,0,0,0,0,0,1,0,1.379888e-05
48,algae,1,0,2,0,0,0,0,0,0,0,3.508284e-06
49,alibi,0,0,1,0,2,0,0,0,0,0,1.534254e-06
50,alien,1,0,1,0,1,0,0,0,0,0,1.2803640000000002e-05
51,align,0,0,1,0,1,0,0,0,0,0,5.3821379999999995e-06
52,alike,1,0,1,0,1,0,0,0,0,0,1.421084e-05
53,alive,1,0,1,0,1,0,0,0,0,0,4.459193999999999e-05
54,allay,0,0,2,0,0,0,0,0,0,0,7.279446000000001e-07
55,alley,1,0,1,0,0,0,0,0,0,0,7.379884000000001e-06
56,allot,0,1,1,1,0,0,0,0,0,0,2.6216939999999997e-07
57,allow,0,0,1,1,0,0,0,0,0,0,8.98091e-05
58,alloy,0,0,1,1,0,0,0,0,0,0,5.504686e-06
59,aloft,0,1,1,1,0,0,0,0,0,0,2.367518e-06
60,alone,1,0,1,1,0,0,0,0,0,0,0.00013902480000000002
61,along,0,0,1,1,0,0,0,0,0,0,0.000221563
62,aloof,0,0,1,2,0,0,0,0,0,0,1.9707719999999995e-06
63,aloud,0,0,1,1,0,0,0,0,0,0,1.154556e-05
64,alpha,0,0,2,0,0,0,0,0,0,0,1.2388300000000001e-05
65,altar,0,1,2,0,0,0,0,0,0,0,1.323824e-05
66,alter,1,1,1,0,0,0,0,0,1,0,1.361182e-05
67,amass,0,0,2,0,0,0,0,0,0,0,4.915587999999999e-07
68,amaze,1,0,2,0,0,0,0,0,0,0,7.116605999999999e-07
69,amber,1,0,1,0,0,0,0,0,1,0,8.013106e-06
70,amble,1,0,1,0,0,0,0,0,0,0,2.796046e-07
71,amend,1,0,1,0,0,0,0,0,0,0,2.584402e-06
72,amiss,0,0,1,0,1,0,0,0,0,0,1.8123099999999998e-06
73,amity,0,1,1,0,1,0,0,0,0,0,7.223352000000001e-07
74,among,0,0,1,1,0,0,0,0,0,0,0.00025544060000000005
75,ample,1,0,1,0,0,0,0,0,0,0,6.631154000000001e-06
76,amply,0,0,1,0,0,0,0,0,0,0,1.296924e-06
77,amuse,1,0,1,0,0,0,0,0,0,0,2.0447e-06
78,angel,1,0,1,0,0,0,0,0,0,1,2.3742260000000002e-05
79,anger,1,0,1,0,0,0,0,0,1,1,4.4622119999999996e-05
80,angle,1,0,1,0,0,0,0,0,0,1,3.16747e-05
81,angry,0,0,1,0,0,0,0,0,0,1,4.058566e-05
82,angst,0,1,1,0,0,0,0,0,0,1,1.34869e-06
83,anime,1,0,1,0,1,0,0,0,0,1,7.225968e-07
84,ankle,1,0,1,0,0,0,0,0,0,1,8.598192e-06
85,annex,1,0,1,0,0,0,0,0,0,1,4.5056460000000005e-06
86,annoy,0,0,1,1,0,0,0,0,0,1,1.374472e-06
87,annul,0,0,1,0,0,0,0,0,0,1,3.806556e-07
88,anode,1,0,1,1,0,0,0,0,0,1,2.5620199999999995e-06
89,antic,0,1,1,0,1,0,0,0,0,1,1.675442e-07
90,anvil,0,0,1,0,1,0,0,0,0,1,9.730494e-07
91,aorta,0,1,2,1,0,0,0,0,0,0,2.842526e-06
92,apart,0,1,2,0,0,0,0,0,0,0,5.1347399999999996e-05
93,aphid,0,0,1,0,1,0,0,0,0,0,4.014522e-07
94,aping,0,0,1,0,1,0,0,1,0,0,1.433626e-07
95,apnea,1,0,2,0,0,0,0,0,0,0,1.669324e-06
96,apple,1,0,1,0,0,0,0,0,0,0,2.054572e-05
97,apply,0,0,1,0,0,0,0,0,0,0,5.697018e-05
98,apron,0,0,1,1,0,0,0,0,0,0,4.063688e-06
99,aptly,0,1,1,0,0,0,0,0,0,0,2.0593580000000002e-06
100,arbor,0,0,1,1,0,0,0,0,0,0,3.32333e-06
101,ardor,0,0,1,1,0,0,0,0,0,0,8.124898e-07
102,arena,1,0,2,0,0,0,0,0,0,0,9.709038e-06
103,argue,1,0,1,0,0,0,0,0,0,0,3.677706000000001e-05
104,arise,1,0,1,0,1,0,0,0,0,0,2.2708539999999997e-05
105,armor,0,0,1,1,0,0,0,0,0,0,7.447496e-06
106,aroma,0,0,2,1,0,0,0,0,0,0,3.729052e-06
107,arose,1,0,1,1,0,0,0,0,0,0,1.3868720000000001e-05
108,array,0,0,2,0,0,0,0,0,0,0,2.08318e-05
109,arrow,0,0,1,1,0,0,0,0,0,0,1.4423759999999998e-05
110,arson,0,0,1,1,0,0,0,0,0,0,1.302002e-06
111,artsy,0,1,1,0,0,0,0,0,0,0,2.038054e-07
112,ascot,0,1,1,1,0,0,0,0,0,0,2.7119800000000004e-07
113,ashen,1,0,1,0,0,0,1,0,0,0,1.0155358e-06
114,aside,1,0,1,0,1,0,0,0,0,0,4.260204e-05
115,askew,1,0,1,0,0,0,0,0,0,0,8.697334e-07
116,assay,0,0,2,0,0,0,0,0,0,0,4.975864e-06
117,asset,1,1,1,0,0,0,0,0,0,0,2.15204e-05
118,atoll,0,1,1,1,0,0,0,0,0,0,5.15256e-07
119,atone,1,1,1,1,0,0,0,0,0,0,8.432026000000001e-07
120,attic,0,2,1,0,1,0,0,0,0,0,4.1310660000000005e-06
121,audio,0,0,1,1,1,0,0,0,0,0,1.0169972000000001e-05
122,audit,0,1,1,0,1,0,0,0,0,0,1.413412e-05
123,augur,0,0,1,0,0,0,0,0,0,0,2.90442e-07
124,aunty,0,1,1,0,0,0,0,0,0,0,1.340736e-06
125,avail,0,0,2,0,1,0,0,0,0,0,3.830104e-06
126,avert,1,1,1,0,0,0,0,0,1,0,1.7037139999999998e-06
127,avian,0,0,2,0,1,0,0,0,0,1,1.7512199999999998e-06
128,avoid,0,0,1,1,1,0,0,0,0,0,6.908247999999999e-05
129,await,0,1,2,0,1,0,0,0,0,0,3.7368359999999997e-06
130,awake,1,0,2,0,0,0,0,0,0,0,1.658142e-05
131,award,0,0,2,0,0,0,0,0,0,0,1.825182e-05
132,aware,1,0,2,0,0,0,0,0,0,0,6.428436e-05
133,awash,0,0,2,0,0,0,0,0,0,0,8.548787999999999e-07
134,awful,0,0,1,0,0,0,0,0,0,0,1.57734e-05
135,awoke,1,0,1,1,0,0,0,0,0,0,5.216806e-06
136,axial,0,0,2,0,1,0,0,0,0,0,6.932043999999999e-06
137,axiom,0,0,1,1,1,0,0,0,0,0,1.9975440000000003e-06
138,axion,0,0,1,1,1,0,0,0,0,0,6.545622e-08
139,azure,1,0,1,0,0,0,0,0,0,0,3.332478e-06
140,bacon,0,0,1,1,0,0,0,0,0,0,1.072936e-05
141,badge,1,0,1,0,0,0,0,0,0,0,3.925914e-06
142,badly,0,0,1,0,0,0,0,0,0,0,1.80913e-05
143,bagel,1,0,1,0,0,0,0,0,0,0,5.86682e-07
144,baggy,0,0,1,0,0,0,0,0,0,0,1.1074176e-06
145,baker,1,0,1,0,0,0,0,0,1,0,1.3764259999999999e-05
146,baler,1,0,1,0,0,0,0,0,1,0,8.148155999999998e-08
147,balmy,0,0,1,0,0,0,0,0,0,0,6.614168e-07
148,banal,0,0,2,0,0,0,0,0,0,1,1.2266e-06
149,banjo,0,0,1,1,0,0,0,0,0,1,8.343874e-07
150,barge,1,0,1,0,0,0,0,0,0,0,2.179834e-06
151,baron,0,0,1,1,0,0,0,0,0,0,8.024482e-06
152,basal,0,0,2,0,0,0,0,0,0,0,5.557777999999999e-06
153,basic,0,0,1,0,1,0,0,0,0,0,0.0001018077
154,basil,0,0,1,0,1,0,0,0,0,0,6.442776e-06
155,basin,0,0,1,0,1,0,0,1,0,0,1.235644e-05
156,basis,0,0,1,0,1,0,0,0,0,0,9.328449999999999e-05
157,baste,1,1,1,0,0,0,0,0,0,0,2.504562e-07
158,batch,0,1,1,0,0,0,0,0,0,0,7.053304e-06
159,bathe,1,1,1,0,0,1,1,0,0,0,2.0439959999999997e-06
160,baton,0,1,1,1,0,0,0,0,0,0,2.2593820000000003e-06
161,batty,0,2,1,0,0,0,0,0,0,0,3.830848e-07
162,bawdy,0,0,1,0,0,0,0,0,0,0,4.731542e-07
163,bayou,0,0,1,1,0,0,0,0,0,0,8.809508e-07
164,beach,1,0,1,0,0,0,0,0,0,0,3.326728e-05
165,beady,1,0,1,0,0,0,0,0,0,0,5.599028e-07
166,beard,1,0,1,0,0,0,0,0,0,0,1.0946438000000001e-05
167,beast,1,1,1,0,0,0,0,0,0,0,1.728846e-05
