Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),letter_freq_score,letter_dup,word_freq_score,word_sim,bigram_freq_score
2022-01-07,202,slump,80630,1362,1.0,3.0,23.0,39.0,24.0,9.0,1.0,0.3810612797920201,0.0,0.37856421250986916,0.2608695652173913,0.4112944239741618
2022-01-08,203,crank,101503,1763,1.0,5.0,23.0,31.0,24.0,14.000000000000002,2.0,0.5089259930381562,0.0,0.4308130072584977,0.5217391304347826,0.5943320686980136
2022-01-09,204,gorge,91477,1913,1.0,3.0,13.0,27.0,30.0,22.0,4.0,0.6824742203083691,1.0,0.3868982488784207,0.21739130434782608,0.5707205272451552
2022-01-10,205,query,107134,2242,1.0,4.0,16.0,30.0,30.0,17.0,2.0,0.13790666880761604,0.0,0.43727447789812435,0.043478260869565216,0.5968058610764264
2022-01-11,206,drink,153880,3017,0.9900990099009901,8.91089108910891,34.65346534653465,33.663366336633665,15.841584158415841,4.9504950495049505,0.9900990099009901,0.4988683857979783,0.0,0.7007243139882052,0.17391304347826086,0.5798200261503399
2022-01-12,207,favor,137586,3073,1.0,4.0,15.0,26.0,28.999999999999996,21.0,4.0,0.4382509404548296,0.0,0.6337735834890114,0.08695652173913043,0.53380881290567
2022-01-13,208,abbey,132726,3345,1.0101010101010102,2.0202020202020203,13.131313131313133,29.292929292929294,31.313131313131315,20.2020202020202,3.0303030303030303,0.39733414834876735,1.0,0.48743159898116106,0.13043478260869565,0.40230626597401953
2022-01-14,209,tangy,169484,3985,1.0,4.0,21.0,30.0,24.0,15.0,5.0,0.5218707575134505,0.0,0.22807757190478406,0.43478260869565216,0.638758364310815
2022-01-15,210,panic,205880,4655,0.9900990099009901,8.91089108910891,34.65346534653465,33.663366336633665,15.841584158415841,4.9504950495049505,0.9900990099009901,0.5014346401967629,0.0,0.566890778634955,0.08695652173913043,0.7253086086624347
2022-01-16,211,solar,209609,4955,1.0,9.0,32.0,32.0,18.0,7.000000000000001,1.0,0.8084179806688081,0.0,0.6234007853537713,0.5217391304347826,0.6952609155693525
2022-01-17,212,shire,222197,5640,0.9900990099009901,7.920792079207921,31.683168316831683,31.683168316831683,17.82178217821782,7.920792079207921,1.9801980198019802,0.8730650580131138,0.0,0.40157305504792884,0.5652173913043478,0.7214185446761419
2022-01-18,213,proxy,220950,6206,0.9900990099009901,1.9801980198019802,10.891089108910892,23.762376237623762,30.693069306930692,25.742574257425744,5.9405940594059405,0.0,0.0,0.455996104960789,0.08695652173913043,0.2781716224826609
2022-01-19,214,point,280622,7094,1.0101010101010102,16.161616161616163,37.37373737373738,28.28282828282828,12.121212121212121,4.040404040404041,1.0101010101010102,0.6113984920144591,0.0,0.8347168092676814,0.2608695652173913,0.6939951033901681
2022-01-20,215,robot,243964,6589,0.9900990099009901,7.920792079207921,28.71287128712871,33.663366336633665,19.801980198019802,7.920792079207921,0.9900990099009901,0.6900803182997692,1.0,0.5628068074108274,0.0,0.5674974308092353
2022-01-21,216,prick,273727,7409,1.0101010101010102,8.080808080808081,30.303030303030305,33.33333333333333,19.19191919191919,7.07070707070707,1.0101010101010102,0.3547737072568933,0.0,0.42878142557333887,0.34782608695652173,0.6430287004960049
2022-01-22,217,wince,241489,6850,0.9900990099009901,2.9702970297029703,16.831683168316832,32.67326732673268,28.71287128712871,14.85148514851485,2.9702970297029703,0.617187066448627,0.0,0.2216161012651574,0.2608695652173913,0.7489466880053315
