,y
2023-01-01,22072.0
2023-01-02,22252.0
2023-01-03,22018.0
2023-01-04,22394.0
2023-01-05,22283.0
2023-01-06,19725.0
2023-01-07,21946.0
2023-01-08,21510.0
2023-01-09,20248.0
2023-01-10,22248.0
2023-01-11,22194.0
2023-01-12,22606.0
2023-01-13,20879.0
2023-01-14,19542.0
2023-01-15,24058.0
2023-01-16,22147.0
2023-01-17,21946.0
2023-01-18,22775.0
2023-01-19,22670.0
2023-01-20,22818.0
2023-01-21,20481.0
2023-01-22,20862.0
2023-01-23,20894.0
2023-01-24,23047.0
2023-01-25,21153.0
2023-01-26,20598.0
2023-01-27,20810.0
2023-01-28,21916.0
2023-01-29,21115.0
2023-01-30,22538.0
2023-01-31,21569.0
2023-02-01,
2023-02-02,21960.0
2023-02-03,21485.0
2023-02-04,20283.0
2023-02-05,21678.0
2023-02-06,20174.0
2023-02-07,22817.0
2023-02-08,20439.0
2023-02-09,23815.0
2023-02-10,21351.0
2023-02-11,19341.0
2023-02-12,20926.0
2023-02-13,20060.0
2023-02-14,23229.0
2023-02-15,20108.0
2023-02-16,20556.0
