,Word,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),e,t,a,o,i,th,he,in,er,an,Frequency
0,slump,1.0,3.0,23.0,39.0,24.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,1.37179e-06
1,crank,1.0,5.0,23.0,31.0,24.0,14.000000000000002,2.0,0,0,1,0,0,0,0,0,0,1,1.583252e-06
2,gorge,1.0,3.0,13.0,27.0,30.0,22.0,4.0,1,0,0,1,0,0,0,0,0,0,2.676004e-06
3,query,1.0,4.0,16.0,30.0,30.0,17.0,2.0,1,0,0,0,0,0,0,0,1,0,1.0179494e-05
4,drink,0.9900990099009901,8.91089108910891,34.65346534653465,33.663366336633665,15.841584158415841,4.9504950495049505,0.9900990099009901,0,0,0,0,1,0,0,1,0,0,5.647384e-05
5,favor,1.0,4.0,15.0,26.0,28.999999999999996,21.0,4.0,0,0,1,1,0,0,0,0,0,0,2.74147e-05
6,abbey,1.0101010101010102,2.0202020202020203,13.131313131313133,29.292929292929294,31.313131313131315,20.2020202020202,3.0303030303030303,1,0,1,0,0,0,0,0,0,0,6.393404000000001e-06
7,tangy,1.0,4.0,21.0,30.0,24.0,15.0,5.0,0,1,1,0,0,0,0,0,0,1,5.526956e-07
8,panic,0.9900990099009901,8.91089108910891,34.65346534653465,33.663366336633665,15.841584158415841,4.9504950495049505,0.9900990099009901,0,0,1,0,1,0,0,0,0,1,1.863406e-05
9,solar,1.0,9.0,32.0,32.0,18.0,7.000000000000001,1.0,0,0,1,1,0,0,0,0,0,0,2.172242e-05
10,shire,0.9900990099009901,7.920792079207921,31.683168316831683,31.683168316831683,17.82178217821782,7.920792079207921,1.9801980198019802,1,0,0,0,1,0,0,0,0,0,8.517304000000002e-07
11,proxy,0.9900990099009901,1.9801980198019802,10.891089108910892,23.762376237623762,30.693069306930692,25.742574257425744,5.9405940594059405,0,0,0,1,0,0,0,0,0,0,4.990537999999999e-06
12,point,1.0101010101010102,16.161616161616163,37.37373737373738,28.28282828282828,12.121212121212121,4.040404040404041,1.0101010101010102,0,1,0,1,1,0,0,1,0,0,0.000306212
