,Word,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),e,t,a,o,i,th,he,in,er,an,Frequency,Char_repitions
0,slump,1,3,23,39,24,9,1,0,0,0,0,0,0,0,0,0,0,0.00066096,0
1,crank,1,5,23,31,24,14,2,0,0,0.5,0,0,0,0,0,0,1,0.000765203,0
2,gorge,1,3,13,27,30,22,4,0.5,0,0,0.5,0,0,0,0,0,0,0.001303891,0.5
3,query,1,4,16,30,30,17,2,0.5,0,0,0,0,0,0,0,1,0,0.005002843,0
4,drink,1,9,35,34,16,5,1,0,0,0,0,0.5,0,0,1,0,0,0.027824297,0
5,favor,1,4,15,26,29,21,4,0,0,0.5,0.5,0,0,0,0,0,0,0.013499182,0
6,abbey,1,2,13,29,31,20,3,0.5,0,0.5,0,0,0,0,0,0,0,0.003136436,0.5
7,tangy,1,4,21,30,24,15,5,0,0.5,0.5,0,0,0,0,0,0,1,0.000257176,0
8,panic,1,9,35,34,16,5,1,0,0,0.5,0,0.5,0,0,0,0,1,0.009170641,0
9,solar,1,9,32,32,18,7,1,0,0,0.5,0.5,0,0,0,0,0,0,0.010693092,0
10,shire,1,8,32,32,18,8,2,0.5,0,0,0,0.5,0,0,0,0,0,0.00040459,0
11,proxy,1,2,11,24,31,26,6,0,0,0,0.5,0,0,0,0,0,0,0.002444873,0
12,point,1,16,37,28,12,4,1,0,0.5,0,0.5,0.5,0,0,1,0,0,0.150936261,0
13,robot,1,8,29,34,20,8,1,0,0.5,0,1,0,0,0,0,0,0,0.005058794,0.5
14,prick,1,8,30,33,19,7,1,0,0,0,0,0.5,0,0,0,0,0,0.00131412,0
15,wince,1,3,17,33,29,15,3,0.5,0,0,0,0.5,0,0,1,0,0,0.000668722,0
16,crimp,1,5,28,38,20,7,1,0,0,0,0,0.5,0,0,0,0,0,0.000171175,0
17,knoll,1,1,11,29,33,21,4,0,0,0,0.5,0,0,0,0,0,0,0.000519848,0.5
18,sugar,1,6,25,34,23,9,1,0,0,0.5,0,0,0,0,0,0,0,0.018089704,0
19,whack,1,4,22,37,24,10,2,0,0,0.5,0,0,0,0,0,0,0,0.000490028,0
20,mount,1,9,29,33,19,7,1,0,0.5,0,0.5,0,0,0,0,0,0,0.009663536,0
